#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
"If s and t are two different numbers on the number line, is s + t equal to 0 ?<br><br>(1)  The distance between s and 0 is the same as the distance between t and 0.<br><br>(2)  0 is between s and t.<br><br>27","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"Of the 1,000 companies responding to a certain survey, what percent indicated that they had a business recovery plan?<br><br>(1) 200 of the companies did not indicate that they had a business recovery plan.<br><br>(2) The number of companies that indicated that they had a business recovery plan was 4 times the number that did not<br>indicate that they had a business recovery plan.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
Martha bought an armchair and a coffee table at an auction and sold both items at her store.  Her gross profit from the<br>purchase and sale of the armchair was what percent greater than her gross profit from the purchase and sale of the coffee<br>table?<br><br>(1)  Martha paid 10 percent more for the armchair than for the coffee table.<br><br>(2)  Martha sold the armchair for 20 percent more than she sold the coffee table.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"Each employee of Company Z is an employee of either Division X or Division Y, but not both.  If each division has some<br>part-time employees, is the ratio of the number of full-time employees to the number of part-time employees greater for<br>Division X than for Company Z ?<br><br>(1) The ratio of the number of full-time employees to the number of part-time employees is less for Division Y than for<br>Company Z.<br><br>(2) More than half of the full-time employees of Company Z are employees of Division X, and more than half of the part-time<br>employees of Company Z are employees of Division Y.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"What is the remainder when the positive integer x is divided by 6?<br><br>(1)  When x is divided by 2, the remainder is 1; and when x is divided by 3, the remainder is 0.<br><br>(2)  When x is divided by 12, the remainder is 3.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"On a certain sight-seeing tour, the ratio of the number of women to the number of children was 5 to 2.  What was the<br>number of men on the sight-seeing tour?<br><br>(1)  On the sight-seeing tour, the ratio of the number of children to the number of men was 5 to 11.<br><br>(2)  The number of women on the sight-seeing tour was less than 30.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"Ellen can purchase a certain computer at a local store at the price of p dollars and pay a 6 percent sales tax.  Alternatively,<br>Ellen can purchase the same computer from a catalog for a total of q dollars, including all taxes and shipping costs.  Will it<br>cost more for Ellen to purchase the computer from the local store than from the catalog?<br><br>(1) q - p &lt; 50<br><br>(2) q = 1,150","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If p is a positive integer, what is the value of p ?<br><br>(1) 4<br>p is a prime number.<br><br>(2)  p is divisible by 3.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Is y &lt; 2x ?<br><br>28<br><br>(1) 4<br>y &lt; 2<br>x<br><br>(2)<br>3<br>2x<br>y<br>&lt; 0,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
Is x &gt; y ?<br><br>(1) x + y &lt; 0<br><br>(2) x - y &gt; 0,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
"For each month of next year, Company R&#x27;s monthly revenue target is x dollars greater than its monthly revenue target for<br>the preceding month.  What is Company R&#x27;s revenue target for March of next year?<br><br>(1)  Company R&#x27;s revenue target for December of next year is $310,000.<br><br>(2)  Company R&#x27;s revenue target for September of next year is $30,000 greater than its revenue target for June of next<br>year.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Is m + z &gt; 0 ?<br><br>(1) m - 3z &gt; 0<br><br>(2)  4z - m &gt; 0,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If k is a positive integer, then 20k is divisible by how many different positive integers?<br><br>(1) k is prime.<br><br>(2) k = 7","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
"This morning, a certain sugar container was full.  Since then some of the sugar from this container was used to make<br>cookies.  If no other sugar was removed from or added to the container, by what percent did the amount of sugar in the<br>container decrease?<br><br>(1) The amount of sugar in the container after making the cookies would need to be increased by 30 percent to fill the<br>container.<br><br>(2) Six cups of sugar from the container were used to make the cookies.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"If a and b are positive numbers, what are the coordinates of the midpoint of line segment CD in the xy-plane?<br><br>(1)  The coordinates of C are (a, 1 - b).<br><br>(2)  The coordinates of D are (1 - a, b).","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
The cost of a square slab is proportional to its thickness and also proportional to the square of its length.  What is the cost<br>of a square slab that is 3 meters long and 0.1 meter thick?<br><br>(1) The cost of a square slab that is 2 meters long and 0.2 meter thick is $160 more than the cost of a square slab that is 2<br>meters long and 0.1 meter thick.<br><br>(2) The cost of a square slab that is 3 meters long and 0.1 meter thick is $200 more than the cost of a square slab that is 2<br><br>29<br>meters long and 0.1 meter thick.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"If Bob produces 36 or fewer items in a week, he is paid x dollars per item.  If Bob produces more than 36 items in a week,<br>he is paid x dollars per item for the first 36 items and 1.5 times that amount for each additional item.  How many items did<br>Bob produce last week?<br><br>(1) Last week Bob was paid a total of $480 for the items that he produced that week.<br><br>(2) This week Bob produced 2 items more than last week and was paid a total of $510 for the items that he produced this<br>week.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
Is x &lt; y ?<br><br>(1) 2x &lt; 3y<br><br>(2) xy &gt; 0,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"a1 , a2 , a3 , . . . , a15<br><br>In the sequence shown, an = an - 1 + k, where 2  n  15 and k is a nonzero constant.  How many of the terms in the<br>sequence are greater than 10 ?<br><br>(1) a1 = 24<br><br>(2) a8 = 10","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
Is 4z &gt; -6 ?<br><br>(1) z &lt; 7<br><br>(2) z &gt; -1<br><br>30,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
Is m &gt; k ?<br><br>(1) 3m &gt; 3k<br><br>(2) 2m &gt; 2k,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"If k is a positive integer, is k the square of an integer?<br><br>(1) k is divisible by 4.<br><br>(2) k is divisible by exactly four different prime numbers.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"If w and z are positive, is z<br>w &lt; 1 ?<br><br>(1) w &lt; z<br><br>(2) z &lt; 4","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"The sale price of a certain jacket was 15 percent less than its original price, and the sale price of a certain shirt was 10<br>percent less than its original price.  How much greater was the original price of the jacket than the original price of the<br>shirt?<br><br>(1)  The sale price of the jacket was $83 greater than the sale price of the shirt.<br><br>(2)  The original price of the jacket was $140.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If x, y, and z are integers, is x + y + 2z even?<br><br>(1) x + z is even.<br><br>(2) y + z is even.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"The operation @ represents either addition, subtraction, or multiplication of integers.  What is the value of 1 @ 0 ?<br><br>(1) 0 @ 2 = 2<br><br>(2) 2 @ 0 = 2","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"One kilogram of a certain coffee blend consists of x kilogram of type I coffee and y kilogram of type II coffee.  The cost of<br>the blend is C dollars per kilogram, where C = 6.5x + 8.5y.  Is x &lt; 0.8 ?<br><br>(1) y &gt; 0.15<br><br>(2) C  7.30","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
"If n and p are integers, is p &gt; 0 ?<br><br>(1) n + 1 &gt; 0<br>(2) np &gt; 0<br><br>2","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"Each of the 105 students in a certain club is either a freshman, a sophomore, or a junior.  How many of the students in the<br>club are sophomores?<br><br>(1)  The ratio of the number of freshmen to the number of sophomores is 1 to 2.<br><br>(2)  The ratio of the number of freshmen to the number of juniors is 1 to 4.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"Juan bought some paperback books that cost $8 each and some hardcover books that cost $25 each.  If Juan bought more<br>than 10 paperback books, how many hardcover books did he buy?<br><br>(1)  The total cost of the hardcover books that Juan bought was at least $150.<br><br>(2)  The total cost of all the books that Juan bought was less than $260.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"What is the value of the positive integer m ?<br><br>(1)  When m is divided by 6, the remainder is 3.<br><br>(2)  When 15 is divided by m, the remainder is 6.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
"Sets A, B, and C have some elements in common.  If 16 elements are in both A and B, 17 elements are in both A and C,<br>and 18 elements are in both B and C, how many elements do all three of the sets A, B, and C have in common?<br><br>(1) Of the 16 elements that are in both A and B, 9 elements are also in C.<br><br>(2) A has 25 elements, B has 30 elements, and C has 35 elements.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"Of the people who attended a workshop, 60 percent were teachers and some of the teachers were teachers of language arts.<br>What percent of the people who attended the workshop were teachers of language arts?<br><br>(1)  200 people attended the workshop.<br><br>(2)  72 of the teachers who attended the workshop were not teachers of language arts.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Jane walked for 4 miles.  What was her average speed for the first 2 miles?<br><br>(1)  Jane&#x27;s average speed for the 4 miles was 3.2 miles per hour.<br><br>(2)  It took Jane 15 minutes longer to walk the second 2 miles than it took her to walk the first 2 miles.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Is xy + xz = 0 ?<br><br>(1) x = 0<br><br>(2) y + z = 0,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
Is |k | = 2 ?<br><br>(1)  k2 = 4<br><br>(2)  k =<br>2<br>,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"3<br>Store S sold a total of 90 copies of a certain book during the seven days of last week, and it sold different numbers of copies<br>on any two of the days.  If for the seven days Store S sold the greatest number of copies on Saturday and the second<br>greatest number of copies on Friday, did Store S sell more than 11 copies on Friday?<br><br>(1)  Last week Store S sold 8 copies of the book on Thursday.<br><br>(2)  Last week Store S sold 38 copies of the book on Saturday.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
Are the two nonzero integers x and y on opposite sides of 0 on the number line?<br><br>(1)  The sum of x and y is 0.<br><br>(2)  The product of x and y is less than 0.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"Set S consists of five consecutive integers, and set T consists of seven consecutive integers.  Is the median of the numbers<br>in set S equal to the median of the numbers in set T ?<br><br>(1)  The median of the numbers in set S is 0.<br><br>(2)  The sum of the numbers in set S is equal to the sum of the numbers in set T.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If -2x &gt; 3y, is x negative?<br><br>(1) y &gt; 0<br><br>(2) 2x + 5y - 20 = 0","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
Is the integer n odd?<br><br>(1) n is divisible by 3.<br><br>(2) 2n is divisible by twice as many positive integers as n.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
Is p<br>1 &gt;<br>2<br>2<br>r<br>r<br><br>(1) p = r<br><br>(2) r &gt; 0,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"q<br>q<br>q<br>q<br>q<br>r<br>s<br>t<br>q<br>u<br>v<br>w<br>q<br>x<br>y<br>z<br><br>In the table above, is z = 20q ?<br><br>(1) q = 3<br><br>(2) Each value in the table other than q is equal to the sum of the value immediately above it in the table and the value<br>immediately to its left in the table.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
One member of a committee of 5 men and 8 women resigned and was not replaced.  What fraction of the remaining<br>members were men?<br><br>4<br><br>(1)  12<br>7 of the remaining members were women.<br><br>(2)  The member who resigned was a woman.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"If x and y are greater than 0, is x = 1 ?<br><br>(1)  y<br>x = 1<br><br>(2)  xy = 1","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If x and y are integers, is the value of x(y + 1) even?<br><br>(1)  x and y are prime numbers.<br><br>(2)  y &gt; 7","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Does set S contain any even numbers?<br><br>(1)  There are no prime numbers in S.<br><br>(2)  There are no multiples of 4 in S.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"A certain movie depicted product A in 21 scenes, product B in 7 scenes, product C in 4 scenes, and product D in 3 scenes.<br>The four product manufacturers paid amounts proportional to the number of scenes in which their product was depicted in<br>the movie.  If each manufacturer paid x dollars per scene, how much did the manufacturer of product D pay for this<br>advertising?<br><br>(1) The manufacturers of products A and B together paid a total of $560,000 for this advertising.<br><br>(2) The manufacturer of product B paid $60,000 more for this advertising than the manufacturer of product C paid.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"Is the positive integer n odd?<br><br>(1) n = 2k + 1, where k is a positive integer.<br><br>(2) 2n + 1 is an odd integer.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"If n is an integer, is 7<br>n an integer?<br><br>(1)<br>7<br>3n is an integer.<br><br>(2)<br>7<br>5n is an integer.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"If a wire 27 meters long is cut into three pieces of three different lengths, what is the length of the longest piece?<br><br>(1)  The length of the longest piece is twice the length of the shortest piece.<br><br>(2)  The sum of the lengths of the two shorter pieces is 15 meters.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
5<br>Is positive integer n divisible by 3 ?<br><br>(1)  36<br>2n is an integer.<br><br>(2)  n<br>2<br>144 is an integer.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"If a &gt; 0, b &gt; 0, and c &gt; 0, is a(b - c) = 0 ?<br><br>(1)  b – c = c - b<br><br>(2)  c<br>b = b<br>c","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
